City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Ilulissat,GL,1627950580,69.2167,-51.1,100,76,46.42,12.66
Isangel,VU,1627950599,-19.55,169.2667,20,64,75.31,6.91
Lagoa,PT,1627950702,39.05,-27.9833,84,93,71.71,6.55
Orlik,RU,1627950702,52.5178,99.825,100,77,53.76,1.43
Ayacucho,PE,1627950703,-13.1583,-74.2239,90,68,54.21,4.81
Sovetskaya Gavan',RU,1627950703,48.9723,140.2878,28,73,65.5,10.65
Andilamena,MG,1627950703,-17.0167,48.5833,4,94,52.79,1.92
Acapulco de Juárez,MX,1627950704,16.8634,-99.8901,40,70,87.62,10.36
College,US,1627950672,64.8569,-147.8028,1,43,86.58,3.44
Tacoronte,ES,1627950704,28.4769,-16.4102,90,74,67.26,15.01
Iqaluit,CA,1627950576,63.7506,-68.5145,75,93,49.73,3.44
Lipin Bor,RU,1627950704,60.2622,37.9763,100,96,64.99,14.25
Lom Sak,TH,1627950705,16.7798,101.2422,75,94,76.89,0.0
Vao,NC,1627950705,-22.6667,167.4833,0,67,66.83,5.82
Yaan,NG,1627950705,7.3833,8.5667,100,96,71.8,5.79
Pangnirtung,CA,1627950706,66.1451,-65.7125,99,89,45.3,4.47
Sergiyev Posad,RU,1627950706,56.3,38.1333,100,92,67.75,9.84
Dillon,US,1627950706,34.4166,-79.3712,82,52,85.19,10.67
Shubarkuduk,KZ,1627950707,49.1447,56.4872,0,34,78.58,6.08
Hokitika,NZ,1627950707,-42.7167,170.9667,100,58,53.13,5.95
Lompoc,US,1627950574,34.6391,-120.4579,1,66,87.69,12.66
Khani,GE,1627950708,41.9563,42.9566,0,76,65.77,4.65
Auxerre,FR,1627950708,47.8,3.5667,100,92,62.46,6.33
Asău,RO,1627950595,46.4333,26.4,5,94,63.52,2.82
Masiga,PH,1627950708,13.3607,121.8278,100,72,84.04,4.7
Praia da Vitória,PT,1627950558,38.7333,-27.0667,90,94,74.75,4.81
Valréas,FR,1627950709,44.3837,4.9908,0,65,60.91,4.52
Burkburnett,US,1627950710,34.0979,-98.5706,1,43,86.72,1.99
Egersund,NO,1627950710,58.4513,5.9997,0,74,53.71,15.68
Darhan,MN,1627950710,49.4867,105.9228,100,86,60.1,11.32
Lakes Entrance,AU,1627950711,-37.8811,147.981,100,80,50.81,11.39
Katherine,AU,1627950711,-14.4667,132.2667,100,54,80.92,4.61
Changji,CN,1627950711,44.0167,87.3167,0,23,75.99,11.18
Port Lincoln,AU,1627950563,-34.7333,135.8667,92,64,52.54,20.22
Rajaori,IN,1627950712,33.3833,74.3,2,70,74.05,4.79
Jerome,US,1627950712,42.7241,-114.5186,1,39,88.63,17.27
Hīt,IQ,1627950712,33.6416,42.8251,2,24,93.11,10.25
Hamilton,US,1627950713,39.1834,-84.5333,20,61,75.42,1.01
Vila Franca do Campo,PT,1627950713,37.7167,-25.4333,0,83,66.61,5.12
São João da Barra,BR,1627950578,-21.6403,-41.0511,0,78,68.63,10.92
Zambezi,ZM,1627950713,-13.5432,23.1047,0,53,52.59,3.49
Hasaki,JP,1627950613,35.7333,140.8333,64,79,86.29,12.71
Tahoua,NE,1627950714,14.8888,5.2692,96,57,84.29,5.79
Chimbote,PE,1627950714,-9.0853,-78.5783,4,86,63.82,10.31
Vila Velha,BR,1627950583,-20.3297,-40.2925,0,94,60.75,2.3
Morondava,MG,1627950715,-20.2833,44.2833,4,70,65.46,11.1
Kirakira,SB,1627950715,-10.4544,161.9205,100,66,81.77,9.64
Galesong,ID,1627950715,-5.3166,119.3661,5,66,77.02,7.87
San Patricio,US,1627950716,28.017,-97.5169,80,63,89.46,13.33
Mahon,ES,1627950716,39.8885,4.2658,0,73,72.16,5.75
Aginskoye,RU,1627950598,51.1,114.53,55,66,69.01,7.11
Arraial do Cabo,BR,1627950610,-22.9661,-42.0278,0,80,68.07,17.69
Abalak,RU,1627950716,58.1286,68.5944,90,78,60.17,4.92
Fortuna,US,1627950589,40.5982,-124.1573,20,73,66.92,4.0
Prieska,ZA,1627950717,-29.6641,22.7474,0,42,46.85,2.82
Neiafu,TO,1627950717,-18.65,-173.9833,40,61,77.68,5.75
Santa Rosa,PH,1627950717,14.3122,121.1114,100,78,85.98,17.4
Progreso,MX,1627950549,21.2833,-89.6667,38,72,77.11,13.65
Coyhaique,CL,1627950718,-45.5752,-72.0662,20,53,46.35,5.75
Gebog,ID,1627950718,-6.735,110.8444,21,72,75.52,8.03
Longyearbyen,SJ,1627950584,78.2186,15.6401,75,71,46.24,21.85
Yulara,AU,1627950719,-25.2406,130.9889,0,62,49.84,19.57
Severo-Kuril'sk,RU,1627950719,50.6789,156.125,100,74,53.96,16.91
Paripiranga,BR,1627950719,-10.6875,-37.8617,1,96,62.58,5.21
Ziyang,CN,1627950720,29.2497,117.8547,2,67,86.92,4.41
Nabire,ID,1627950720,-3.3667,135.4833,87,78,81.81,2.33
Manta,EC,1627950563,-0.95,-80.7333,40,78,74.98,11.5
Kahului,US,1627950366,20.8947,-156.47,40,67,84.94,26.46
Innisfail,AU,1627950721,-17.5333,146.0333,42,56,75.34,3.58
San Quintín,MX,1627950589,30.4833,-115.95,1,61,76.78,15.35
Vardø,NO,1627950569,70.3705,31.1107,51,86,47.71,1.03
Boshnyakovo,RU,1627950721,49.6333,142.1667,2,63,67.51,3.83
Avera,US,1627950577,33.194,-82.5271,25,47,87.67,0.98
Vilhena,BR,1627950645,-12.7406,-60.1458,0,41,75.42,10.36
Bata,GQ,1627950722,1.8639,9.7658,40,94,76.86,4.61
Honningsvåg,NO,1627950722,70.9821,25.9704,44,82,47.7,17.69
Laas,IT,1627950591,46.6166,10.7002,60,91,58.08,0.81
Nerchinskiy Zavod,RU,1627950723,51.3088,119.61,98,72,68.2,4.63
Liverpool,GB,1627950542,53.4106,-2.9779,0,79,55.78,1.01
Sheksna,RU,1627950724,59.21,38.5107,85,92,69.76,17.27
Tabou,CI,1627950724,4.423,-7.3528,6,82,75.34,4.56
Port Elizabeth,ZA,1627950611,-33.918,25.5701,0,88,55.69,9.22
Itarema,BR,1627950724,-2.9248,-39.9167,10,79,75.58,3.22
Beringovskiy,RU,1627950725,63.05,179.3167,100,94,43.77,8.46
Brito,PT,1627950725,41.4582,-8.361,100,84,66.69,1.7
Piaçabuçu,BR,1627950725,-10.4056,-36.4344,82,89,72.18,9.75
Taltal,CL,1627950726,-25.4,-70.4833,0,74,59.49,4.27
Sur,OM,1627950601,22.5667,59.5289,86,58,86.97,9.98
San Fernando,PH,1627950726,15.0286,120.6898,100,80,86.02,14.38
Kralendijk,BQ,1627950620,12.15,-68.2667,4,83,80.58,11.5
Jämsä,FI,1627950727,61.8642,25.19,100,97,57.88,7.85
Kargopol',RU,1627950727,61.5071,38.9456,100,98,61.2,10.36
Puri,IN,1627950727,19.8,85.85,100,71,81.12,7.92
The Valley,AI,1627950619,18.217,-63.0578,1,75,82.26,13.85
Silopi,TR,1627950728,37.2497,42.4694,4,33,82.98,5.55
Qandala,SO,1627950728,11.472,49.8728,38,52,86.59,11.14
General Roca,AR,1627950728,-39.0333,-67.5833,24,27,45.0,7.85
Leshukonskoye,RU,1627950728,64.8989,45.7622,100,98,54.19,4.45
Agadez,NE,1627950729,19.75,10.25,0,12,90.32,9.19
Tayu,ID,1627950729,-6.5397,111.0518,87,72,81.14,8.75
Turki,RU,1627950729,51.987,43.2731,6,44,70.79,4.54
Mahébourg,MU,1627950730,-20.4081,57.7,20,88,59.29,5.75
Lavrentiya,RU,1627950730,65.5833,-171.0,100,99,45.01,8.16
Rio Grande,BR,1627950572,-32.035,-52.0986,7,94,47.95,7.05
Alofi,NU,1627950730,-19.0595,-169.9187,75,65,78.69,12.66
Ulladulla,AU,1627950731,-35.35,150.4667,4,49,61.7,13.82
Benghazi,LY,1627950588,32.1167,20.0667,0,67,83.07,15.73
Flagstaff,US,1627950731,35.1981,-111.6513,1,26,88.66,5.01
Meulaboh,ID,1627950731,4.1363,96.1285,74,78,77.05,5.03
Vestmannaeyjar,IS,1627950564,63.4427,-20.2734,100,83,52.72,3.91
Qaqortoq,GL,1627950732,60.7167,-46.0333,100,97,50.5,2.51
Karratha,AU,1627950732,-20.7377,116.8463,20,24,64.09,23.04
Ancud,CL,1627950732,-41.8697,-73.8203,100,95,49.53,4.29
Pervomayskiy,RU,1627950733,53.2485,40.2871,100,79,65.52,5.73
Mumbai,IN,1627950610,19.0144,72.8479,75,94,80.58,13.8
Hong Kong,HK,1627950579,22.2855,114.1577,98,92,84.33,1.01
Seymchan,RU,1627950733,62.8833,152.4333,80,53,49.69,14.52
Khatanga,RU,1627950579,71.9667,102.5,82,52,70.52,12.93
Tateyama,JP,1627950734,34.9833,139.8667,35,75,87.73,11.41
Lugovoy,KZ,1627950734,42.9472,72.7644,81,26,73.67,6.38
Vangaindrano,MG,1627950734,-23.35,47.6,8,88,64.26,5.86
Boyolangu,ID,1627950735,-8.1181,111.8935,85,89,76.26,9.19
Orbetello,IT,1627950735,42.4408,11.2196,100,52,70.79,4.61
Saint-Augustin,CA,1627950735,51.226,-58.6502,100,87,59.43,17.2
Havelock,US,1627950705,34.8791,-76.9013,16,93,77.94,1.01
Uyemskiy,RU,1627950736,64.4743,40.8524,40,94,57.25,4.47
Bubaque,GW,1627950736,11.2833,-15.8333,46,82,79.05,14.67
Hofn,IS,1627950736,64.2539,-15.2082,100,86,52.93,7.2
Copala,MX,1627950737,16.65,-98.9833,91,82,81.91,6.42
Timrå,SE,1627950737,62.487,17.3257,75,65,53.67,13.8
Menongue,AO,1627950737,-14.6585,17.691,0,48,51.3,4.72
Fairbanks,US,1627950637,64.8378,-147.7164,1,42,88.09,3.44
Moratuwa,LK,1627950738,6.773,79.8816,100,88,80.62,6.73
Farafangana,MG,1627950738,-22.8167,47.8333,2,89,64.58,4.79
Moranbah,AU,1627950738,-22.0016,148.0466,5,24,76.6,5.1
Husavik,IS,1627950739,66.0449,-17.3389,95,89,51.71,2.39
Karpathos,GR,1627950739,35.507,27.2132,0,71,81.63,14.72
Usakos,NA,1627950739,-22.0,15.6,0,31,62.01,7.67
Nantucket,US,1627950667,41.2835,-70.0995,1,78,72.01,5.75
Sudogda,RU,1627950740,55.9539,40.8629,100,93,63.91,6.15
Homer,US,1627950643,59.6425,-151.5483,90,83,74.08,13.8
Jalu,LY,1627950740,29.0331,21.5482,0,24,86.54,7.63
Vilyuysk,RU,1627950741,63.7553,121.6247,0,39,76.01,8.34
Kavaratti,IN,1627950741,10.5669,72.642,100,72,82.04,14.12
Nelson,NZ,1627950469,-41.2833,173.2833,100,86,57.69,3.0
Constitución,CL,1627950742,-35.3333,-72.4167,0,68,53.47,5.84
Baghmara,IN,1627950742,23.795,86.2085,66,78,80.65,8.55
Zirándaro de los Chávez,MX,1627950742,18.45,-100.9833,37,73,84.34,2.66
San Juan,AR,1627950743,-31.5375,-68.5364,0,26,59.22,4.61
Cabo San Lucas,MX,1627950657,22.8909,-109.9124,20,51,97.52,12.66
Kabare,CD,1627950743,-2.4683,28.8242,86,71,59.41,0.25
Grafton,US,1627950743,42.207,-71.6856,1,75,71.85,4.61
Taoudenni,ML,1627950744,22.6783,-3.9836,77,23,97.45,10.04
Popondetta,PG,1627950744,-8.7537,148.2534,92,52,88.29,2.77
Rocha,UY,1627950744,-34.4833,-54.3333,0,92,44.51,1.3
Bariloche,AR,1627950745,-41.1456,-71.3082,75,76,47.95,11.5
Grand Gaube,MU,1627950745,-20.0064,57.6608,0,66,59.4,7.02
Carlyle,US,1627950745,38.6103,-89.3726,0,58,77.32,4.88
Shimoda,JP,1627950746,34.6667,138.95,100,82,86.36,7.76
Nakusp,CA,1627950623,50.2499,-117.8023,88,73,71.94,2.3
Río Cuarto,AR,1627950746,-33.1307,-64.3499,0,46,49.77,11.5
Ust-Tsilma,RU,1627950746,65.441,52.1498,24,98,54.39,2.77
Ol'ga,RU,1627950746,43.7444,135.2892,82,77,74.86,5.06
Muskegon,US,1627950747,43.3,-86.1334,75,61,72.28,5.75
Boralday,KZ,1627950747,43.3578,76.8594,75,29,75.06,4.47
Leningradskiy,RU,1627950748,69.3833,178.4167,100,100,33.21,9.53
St. Pete Beach,US,1627950607,27.7253,-82.7412,1,72,88.16,1.01
Mandan,US,1627950748,46.8267,-100.8896,1,26,91.38,1.99
Kipini,KE,1627950748,-2.5257,40.5262,6,80,75.49,13.18
Los Llanos de Aridane,ES,1627950571,28.6585,-17.9182,90,92,69.55,12.66
Mackenzie,CA,1627950749,55.2999,-123.1698,1,64,75.42,2.3
Kutum,SD,1627950749,14.2,24.6667,43,67,72.88,14.56
Pathein,MM,1627950749,16.7833,94.7333,100,93,76.98,9.66
Kinsale,IE,1627950542,51.7075,-8.5306,75,100,54.77,2.3
Tessalit,ML,1627950750,20.1986,1.0114,84,42,87.44,8.63
Petukhovo,RU,1627950750,55.0692,67.9019,100,70,63.09,6.46
Tura,IN,1627950750,25.5198,90.2201,100,96,75.96,3.0
Murray Bridge,AU,1627950659,-35.1167,139.2667,65,67,54.48,20.27
Petropavl,KZ,1627950751,54.8753,69.1628,100,70,61.84,5.86
Nanortalik,GL,1627950751,60.1432,-45.2371,100,96,44.11,1.68
Plettenberg Bay,ZA,1627950751,-34.0527,23.3716,0,62,56.7,4.65
